subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	4	14	266	forests25.jpg	forests	X	43	64.51252	1	0.719537496566772	209	0	4
39	0	4	15	267	lighthouses50.jpg	lighthouses	A	45	67.512588	1	0.61462140083313	443	1	1
39	0	4	16	268	canyons38.jpg	canyons	B	49	73.512569	1	0.723756790161133	477	0	4
39	0	4	17	269	parks29.jpg	parks	X	51	76.512343	1	0.986774682998657	376	0	1
39	0	4	18	270	lakes8.jpg	lakes	X	54	81.012292	1	0.672861576080322	427	1	4
39	0	4	19	271	beaches47.jpg	beaches	X	56	84.012241	1	0.638914823532104	1	0	4
39	0	4	20	272	lighthouses20.jpg	lighthouses	A	58	87.012198	1	0.560945749282837	397	1	4
39	0	4	21	273	canyons48.jpg	canyons	B	62	93.012109	1	0.551069736480713	415	0	4
39	0	4	22	274	parks41.jpg	parks	X	64	96.012066	1	0.660086870193481	435	0	4
39	0	4	23	275	forests7.jpg	forests	X	66	99.012021	1	0.599148750305176	279	0	1
