subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
101	41	bridges40.jpg	bridges	X	4	yes	0.999973	1	0.53152060508728	k	1	1	5
101	42	parks29.jpg	parks	A	3	yes	1.000396	1	1.12869191169739	k	1	1	3.5
101	43	marshes40.jpg	marshes	B	2	no	0.999999	1	0.702750682830811	j	1	1	3.5
101	44	bridges39.jpg	bridges	X	5	yes	0.999867	1	0.760818719863892	k	1	1	3.5
101	45	forests38.jpg	forests	A	4	no	1.000005	1	0.609890937805176	j	1	1	3.5
101	46	deserts20.jpg	deserts	B	3	no	0.999983	1	0.736928701400757	j	1	1	3.5
101	47	lakes47.jpg	lakes	X	4	yes	0.999998	1	0.639021635055542	k	1	1	3.5
101	48	mountains47.jpg	mountains	B	4	no	1.000014	1	1.07309651374817	j	1	1	5
101	49	deserts50.jpg	deserts	B	4	no	0.999964	1	0.62121057510376	j	1	1	2
101	50	fields32.jpg	fields	X	3	yes	0.999992	1	0.795225620269775	k	1	1	3.5
101	51	beaches52.jpg	beaches	A	3	yes	1.00002	1	0.732341527938843	k	1	1	2
101	52	canyons9.jpg	canyons	X	2	no	1.000055	1	0.545408725738525	j	1	1	3.5
101	53	deserts43.jpg	deserts	B	5	no	1.000192	1	1.1994457244873	j	1	1	2
101	54	fields53.jpg	fields	X	4	yes	1.000001	1	0.701508522033691	k	1	1	3.5
101	55	waterfalls21.jpg	waterfalls	X	4	no	1.000012	0	0.768572807312012	k	1	1	3.5
101	56	canyons7.jpg	canyons	X	3	no	0.999992	1	0.718621492385864	j	1	1	5
101	57	lakes32.jpg	lakes	X	5	yes	1.000005	1	0.704755544662476	k	1	1	3.5
101	58	marshes3.jpg	marshes	B	3	no	1.000153	1	0.986982583999634	j	1	1	2
101	59	lakes37.jpg	lakes	X	6	yes	0.99999	1	0.651915788650513	k	1	1	5
101	60	deserts48.jpg	deserts	B	6	no	0.999999	1	0.709002733230591	j	1	1	3.5
101	61	marshes42.jpg	marshes	B	4	no	1.00002	1	0.714029312133789	j	1	1	3.5
101	62	waterfalls40.jpg	waterfalls	X	5	no	1.000042	1	0.747153759002686	j	1	1	3.5
101	63	parks25.jpg	parks	A	4	yes	0.999997	1	0.793205738067627	k	1	1	5
101	64	forests23.jpg	forests	A	5	no	0.999993	1	0.622283697128296	j	1	1	5
101	65	fields27.jpg	fields	X	5	yes	1.00005	1	0.719340562820435	k	1	1	3.5
101	66	lighthouses51.jpg	lighthouses	X	5	yes	0.999905	1	0.669432878494263	k	1	1	3.5
101	67	canyons50.jpg	canyons	X	4	no	0.999993	1	0.802547693252563	j	1	1	2
101	68	lighthouses56.jpg	lighthouses	X	6	yes	1.000099	1	1.13256740570068	k	1	1	5
101	69	waterfalls51.jpg	waterfalls	X	6	no	1.000006	1	0.542654514312744	j	1	1	2
101	70	canyons11.jpg	canyons	X	5	no	1.000133	1	0.55968165397644	j	1	1	3.5
101	71	mountains2.jpg	mountains	B	5	no	1.000001	1	0.619818687438965	j	1	1	2
101	72	beaches33.jpg	beaches	A	4	yes	0.999973	1	0.668835639953613	k	1	1	3.5
101	73	mountains36.jpg	mountains	B	6	no	0.99995	1	0.682908773422241	j	1	1	2
101	74	parks30.jpg	parks	A	5	yes	0.999953	1	0.884947776794434	k	1	1	3.5
101	75	forests4.jpg	forests	A	6	no	0.999939	1	0.57701849937439	j	1	1	3.5
101	76	fields10.jpg	fields	X	6	yes	1	1	0.567116498947144	k	1	1	3.5
101	77	beaches25.jpg	beaches	A	5	yes	0.999976	1	0.666175603866577	k	1	1	2
101	78	parks5.jpg	parks	A	6	yes	0.999835	1	0.690592765808105	k	1	1	5
101	79	beaches42.jpg	beaches	A	6	yes	1	1	0.760433435440063	k	1	1	2
101	80	marshes11.jpg	marshes	B	5	no	0.999965	1	0.636414527893066	j	1	1	3.5
101	81	bridges26.jpg	bridges	X	6	yes	0.99999	1	0.722536563873291	k	1	1	5
101	82	canyons16.jpg	canyons	X	6	no	1.000026	0	1.42152261734009	k	1	1	2
101	83	marshes41.jpg	marshes	B	6	no	0.999991	1	0.683810710906982	j	1	1	3.5
